Age_Group,Resolved_Cases,Fatal_Cases
>20, 5420, 1
20s, 9102, 1
30s, 7695, 4
40s, 7146, 7
50s, 7396, 28
60s, 4295, 80
70, 2233, 161
80s, 2207, 466
90+, 1420, 561
Unknown, 6, 0
