Date,Municipality,Count
2021-02-10, waterloo, 0
2021-02-11, ottawa, 45
2021-02-11, waterloo, 1
2021-02-12, ottawa, 53
2021-02-12, waterloo, 2
2021-02-16, ottawa, 44
2021-02-16, waterloo, 2
2021-02-17, ottawa, 60
2021-02-17, waterloo, 2
2021-02-18, ottawa, 69
2021-02-18, waterloo, 2
2021-02-19, ottawa, 68
2021-02-19, waterloo, 2
2021-02-22, ottawa, 72
2021-02-22, waterloo, 4
2021-02-23, ottawa, 79
2021-02-23, waterloo, 4
2021-02-24, ottawa, 88
2021-02-24, waterloo, 10
2021-02-25, ottawa, 85
2021-02-25, waterloo, 10
2021-02-26, ottawa, 81
2021-02-26, waterloo, 9
2021-03-01, ottawa, 84
2021-03-01, waterloo, 12
2021-03-02, ottawa, 93
2021-03-02, waterloo, 15
2021-03-03, ottawa, 97
2021-03-03, waterloo, 16
2021-03-04, ottawa, 108
2021-03-04, waterloo, 15
2021-03-05, ottawa, 105
2021-03-05, waterloo, 15
2021-03-08, ottawa, 108
2021-03-08, waterloo, 15
2021-03-09, ottawa, 114
2021-03-09, waterloo, 15
2021-03-10, ottawa, 109
2021-03-10, waterloo, 10
2021-03-11, ottawa, 111
2021-03-11, waterloo, 10
2021-03-12, ottawa, 121
2021-03-12, waterloo, 9
2021-03-15, ottawa, 135
2021-03-15, waterloo, 7
2021-03-16, ottawa, 148
2021-03-16, waterloo, 9
2021-03-17, ottawa, 147
2021-03-17, waterloo, 6
2021-03-18, ottawa, 147
2021-03-18, waterloo, 7
2021-03-19, ottawa, 151
2021-03-19, waterloo, 8
2021-03-22, ottawa, 155
2021-03-22, waterloo, 9
2021-03-23, ottawa, 160
2021-03-23, waterloo, 11
2021-03-24, ottawa, 168
2021-03-24, waterloo, 12
2021-03-25, ottawa, 174
2021-03-25, waterloo, 12
2021-03-26, ottawa, 178
2021-03-26, waterloo, 14
2021-03-29, ottawa, 183
2021-03-29, waterloo, 14
